"country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"Afghanistan","17 Dec 2020",154767,49621,32.1,0.4,0.13
"Albania","18 Feb 2021",428654,96838,22.6,15,3.4
"Algeria","2 Nov 2020",230553,58574,25.4,0.53,0.13
"Andorra","8 Mar 2021",159725,11066,6.9,206,14.3
"Angola","12 Mar 2021",399228,20981,5.3,1.3,0.067
"Antigua and Barbuda","6 Mar 2021",15268,832,5.4,15.9,0.86
"Argentina","14 Mar 2021",7998673,2195722,27.5,17.6,4.8
"Armenia","13 Mar 2021",765879,177104,23.1,25.9,6
"Australia","15 Mar 2021",14933604,29130,0.2,59.5,0.12
"Austria","13 Mar 2021",17906847,488007,2.7,201,5.5
"Azerbaijan","14 Mar 2021",2710126,240295,8.9,27.4,2.4
"Bahamas","8 Mar 2021",70352,8642,12.3,18.2,2.2
"Bahrain","14 Mar 2021",3305543,131001,4,211,8.3
"Bangladesh","5 Mar 2021",4119031,549184,13.3,2.5,0.33
"Barbados","12 Mar 2021",133061,3404,2.6,46.4,1.2
"Belarus","13 Mar 2021",5063251,300146,5.9,53.3,3.2
"Belgium","12 Mar 2021",10110146,808283,72.8,9.6,7
"Belize","12 Mar 2021",90633,12370,13.6,22.2,3
"Benin","3 Mar 2021",504345,6071,1.2,4.3,0.052
"Bhutan","14 Mar 2021",562368,868,0.15,75.8,0.12
"Bolivia","2 Mar 2021",731607,250557,34.2,6.4,2.2
"Bosnia and Herzegovina","12 Mar 2021",707190,142160,20.1,20.7,4.2
"Botswana","12 Mar 2021",856135,34108,4,38,1.5
"Brazil","19 Feb 2021",23561497,10081676,42.8,11.2,4.8
"Brunei","14 Mar 2021",110176,199,0.18,24,0.043
"Bulgaria","14 Mar 2021",1841263,278557,15.1,26.5,4
"Burkina Faso","4 Mar 2021",158777,12123,7.6,0.76,0.058
"Burundi","5 Jan 2021",90019,884,0.98,0.76,0.0074
"Cambodia","2 Mar 2021",499716,844,0.17,3.1,0.0052
"Cameroon","18 Feb 2021",942685,32681,3.5,3.6,0.12
"Canada","14 Mar 2021",25881400,909157,3.5,68.3,2.4
"Chad","2 Mar 2021",99027,4020,4.1,0.72,0.029
"Chile","13 Mar 2021",10052114,885379,8.8,52.7,4.6
"China[c]","31 Jul 2020",1.6e+08,87655,0.055,11.1,0.0061
"Colombia","14 Mar 2021",11989901,2303144,19.2,24.8,4.8
"Costa Rica","12 Mar 2021",729069,209093,28.7,14.6,4.2
"Croatia","14 Mar 2021",1428779,251045,17.6,35.1,6.2
"Cuba","13 Mar 2021",2649946,61472,2.3,23.4,0.54
"Cyprus[d]","13 Mar 2021",2586839,39277,1.5,300,4.5
"Czechia","13 Mar 2021",5793244,1392108,24,54.2,13
"Denmark[e]","13 Mar 2021",20225208,219918,1.1,347,3.8
"Djibouti","14 Mar 2021",120124,6268,5.2,13,0.68
"Dominica","11 Mar 2021",12325,156,1.3,17.2,0.22
"Dominican Republic","8 Mar 2021",1233986,243778,19.8,11.3,2.2
"DR Congo","28 Feb 2021",124838,25961,20.8,0.14,0.029
"Ecuador","3 Mar 2021",1022897,289472,28.3,6,1.7
"Egypt","9 Mar 2021",2423820,187716,7.7,2.4,0.19
"El Salvador","12 Mar 2021",799510,62086,7.8,12.3,0.96
"Equatorial Guinea","6 Mar 2021",101117,6371,6.3,7.7,0.49
"Estonia","13 Mar 2021",1027872,83872,8.2,77.4,6.3
"Eswatini","9 Mar 2021",162164,17191,10.6,14.3,1.5
"Ethiopia","5 Mar 2021",2165507,164073,7.6,1.9,0.14
"Faroe Islands","13 Mar 2021",235277,661,0.28,452,1.3
"Fiji","1 Mar 2021",30607,59,0.19,3.4,0.0066
"Finland","14 Mar 2021",3594516,66869,1.9,64.8,1.2
"France[f][g]","14 Mar 2021",57231533,4071662,7.1,87.7,6.2
"Gabon","5 Mar 2021",545881,15517,2.8,1.8,0.05
"Gambia","15 Feb 2021",43217,4469,10.3,2,0.21
"Georgia[h]","14 Mar 2021",1880127,274989,14.6,50.6,7.4
"Germany","10 Mar 2021",46319641,2532947,5.5,55.2,3
"Ghana","2 Mar 2021",917581,85742,9.3,3,0.28
"Greece","13 Mar 2021",5837795,219521,3.8,54.2,2
"Greenland","12 Mar 2021",19902,31,0.16,35.5,0.055
"Grenada","3 Feb 2021",20288,148,0.73,18.2,0.13
"Guatemala","4 Mar 2021",941135,177716,18.9,5.5,1
"Guinea","4 Mar 2021",357161,16420,4.6,2.7,0.13
"Guinea-Bissau","3 Mar 2021",53206,3301,6.2,2.8,0.18
"Guyana","9 Mar 2021",71427,8847,12.4,9.1,1.1
"Haiti","28 Feb 2021",55267,12536,22.7,0.48,0.11
"Honduras","4 Mar 2021",477863,172100,36,5,1.8
"Hungary","13 Mar 2021",4034635,507627,12.6,41.8,5.3
"Iceland","13 Mar 2021",513439,6072,1.2,141,1.7
"India","14 Mar 2021",226703641,11359048,5,16.4,0.82
"Indonesia","15 Mar 2021",7781193,1425044,18.3,2.9,0.53
"Iran","9 Mar 2021",11402162,1706559,15,13.7,2.1
"Iraq","14 Mar 2021",7386457,758184,10.3,18.4,1.9
"Ireland","13 Mar 2021",3720861,226358,6.1,75.6,4.6
"Israel","14 Mar 2021",12884409,818548,6.4,140,8.9
"Italy","14 Mar 2021",44623304,3223142,7.2,73.9,5.3
"Ivory Coast","3 Mar 2021",429177,33285,7.8,1.6,0.13
"Jamaica","6 Mar 2021",226991,26026,11.5,8.3,0.96
"Japan","1 Mar 2021",8487288,432773,5.1,6.7,0.34
"Jordan","13 Mar 2021",5131793,469000,9.1,48.1,4.4
"Kazakhstan","13 Mar 2021",8059566,223720,2.8,43.2,1.2
"Kenya","5 Mar 2021",1322806,107729,8.1,2.8,0.23
"Kosovo","14 Mar 2021",354967,77253,21.8,19.6,4.3
"Kuwait","14 Mar 2021",1907214,209523,11,44.5,4.9
"Kyrgyzstan","10 Feb 2021",695415,85253,12.3,10.7,1.3
"Laos","1 Mar 2021",114030,45,0.039,1.6,0.00063
"Latvia","14 Mar 2021",1620010,93781,5.8,84.4,4.9
"Lebanon","13 Mar 2021",3260457,415362,12.7,47.8,6.1
"Lesotho","2 Mar 2021",61496,10497,17.1,3.1,0.52
"Liberia","4 Mar 2021",75504,2024,2.7,1.5,0.04
"Libya","8 Mar 2021",760124,140688,18.5,11.1,2
"Lithuania","13 Mar 2021",2226676,205385,9.2,79.7,7.4
"Luxembourg[i]","11 Mar 2021",2228285,57503,2.6,356,9.2
"Madagascar","19 Feb 2021",119608,19831,16.6,0.46,0.076
"Malawi","3 Mar 2021",200951,32229,16,1.1,0.17
"Malaysia","14 Mar 2021",6838276,323763,4.7,20.9,0.99
"Maldives","13 Mar 2021",573606,21476,3.7,146,5.5
"Mali","1 Mar 2021",200772,8390,4.2,0.99,0.041
"Malta","14 Mar 2021",755060,26535,3.5,153,5.4
"Mauritania","4 Mar 2021",221251,17267,7.8,5,0.39
"Mauritius","22 Nov 2020",289552,494,0.17,22.9,0.039
"Mexico","5 Mar 2021",5143553,2119305,41.2,4,1.6
"Moldova[j]","14 Mar 2021",771763,204463,26.5,29.2,7.7
"Mongolia","14 Mar 2021",2024274,3961,0.2,60.4,0.118
"Montenegro","4 Aug 2020",24469,3361,13.7,3.9,0.53
"Morocco","14 Mar 2021",5801538,488937,8.4,15.7,1.3
"Mozambique","3 Mar 2021",428868,60395,14.1,1.4,0.19
"Myanmar","2 Mar 2021",2493481,141965,5.7,4.6,0.26
"Namibia","7 Mar 2021",312263,40030,12.8,11.4,1.5
"Nepal","1 Mar 2021",2165985,274216,12.7,7.7,0.98
"Netherlands","9 Mar 2021",8769813,1128202,12.9,50.3,6.5
"New Caledonia","9 Mar 2021",23793,70,0.29,8.8,0.026
"New Zealand","14 Mar 2021",1818986,2067,0.11,36.5,0.041
"Niger","22 Feb 2021",79321,4740,6,0.35,0.021
"Nigeria","28 Feb 2021",1544008,155657,10.1,0.75,0.076
"North Korea","25 Nov 2020",16914,0,0,0.066,0
"North Macedonia","14 Mar 2021",566183,112646,19.9,27.3,5.4
"Northern Cyprus[k]","27 Feb 2021",538578,3383,0.63,165,1
"Norway","15 Mar 2021",4210260,80440,1.9,78.4,1.5
"Oman","28 Oct 2020",509959,114434,22.4,11,2.5
"Pakistan","5 Mar 2021",9173593,588728,6.4,4.2,0.27
"Palestine","14 Mar 2021",1295750,236591,18.3,25.6,4.7
"Panama","14 Mar 2021",2017331,347919,17.2,48.3,8.3
"Papua New Guinea","17 Feb 2021",47490,961,2,0.53,0.011
"Paraguay","8 Mar 2021",781914,169860,21.7,11,2.4
"Peru","14 Mar 2021",8284625,1412406,17,25.2,4.3
"Philippines","9 Mar 2021",9098973,600428,6.6,9,0.59
"Poland","14 Mar 2021",10668987,1906632,17.9,27.8,5
"Portugal","14 Mar 2021",8505802,814257,9.6,82.8,7.9
"Qatar","13 Mar 2021",1615021,169767,10.5,56.1,5.9
"Romania","29 Jan 2021",5405393,724250,13.4,27.9,3.7
"Russia","13 Mar 2021",114862652,4380525,3.8,78.3,3
"Rwanda","9 Mar 2021",1043645,19779,1.9,8.1,0.15
"Saint Kitts and Nevis","14 Mar 2021",10465,43,0.41,20,0.082
"Saint Lucia","14 Mar 2021",33885,4053,12,18.6,2.2
"Saint Vincent","11 Mar 2021",38273,1674,4.4,34.7,1.5
"San Marino","15 Mar 2021",47699,4151,8.7,139,12.1
"Saudi Arabia","14 Mar 2021",14307143,382407,2.7,41.1,1.1
"Senegal","1 Mar 2021",419545,34732,8.3,2.6,0.22
"Serbia","14 Mar 2021",3149048,516277,16.4,45.2,7.4
"Singapore","8 Mar 2021",7805264,60052,0.77,137,1.1
"Slovakia","13 Mar 2021",2190451,336235,15.4,40.1,6.2
"Slovenia","14 Mar 2021",977071,200579,20.5,46.7,9.6
"South Africa","14 Mar 2021",9450492,1529420,16.2,15.9,2.6
"South Korea","1 Mar 2021",6592010,90029,1.4,12.7,0.17
"South Sudan","4 Mar 2021",113686,8527,7.5,0.89,0.067
"Spain","11 Mar 2021",40292390,3178356,7.8,86.2,6.7
"Sri Lanka","12 Mar 2021",2230759,87286,3.9,10.2,0.4
"Sudan","7 Jan 2021",158804,23316,14.7,0.36,0.053
"Sweden","10 Mar 2021",6626099,693687,10.5,64.2,6.7
"Switzerland[l]","12 Mar 2021",5387481,570645,10.6,62.6,6.6
"Taiwan[m]","3 Mar 2021",429603,955,0.22,1.8,0.004
"Tanzania","18 Nov 2020",3880,509,13.1,0.0065,0.00085
"Thailand","4 Mar 2021",1579597,26162,1.7,2.3,0.038
"Togo","5 Mar 2021",242657,7428,3.1,2.8,0.086
"Trinidad and Tobago","7 Mar 2021",98965,7736,7.8,7.3,0.57
"Tunisia","8 Mar 2021",1011915,238613,23.6,8.6,2
"Turkey","14 Mar 2021",35126003,2879390,8.2,42.2,3.5
"Uganda","11 Feb 2021",852444,39979,4.7,1.9,0.087
"Ukraine","13 Mar 2021",7328468,1451744,19.8,17.4,3.5
"United Arab Emirates","13 Mar 2021",33592518,424405,1.3,350,4.4
"United Kingdom","12 Mar 2021",103053938,4248286,4.1,153,6.3
"United States","14 Mar 2021",362125287,29403102,8.1,109,8.9
"Uruguay","14 Mar 2021",1140858,71691,6.3,32.9,2.1
"Uzbekistan","14 Jul 2020",1400000,13872,0.99,4.1,0.041
"Venezuela","11 Mar 2021",2987875,144277,4.8,10.3,0.5
"Vietnam","7 Mar 2021",2598753,2512,0.097,2.6,0.0025
"Zambia","3 Mar 2021",1106204,80090,7.2,6.4,0.46
"Zimbabwe","5 Mar 2021",392323,36248,9.2,2.6,0.24
